company_name,company_website,city,active_project,project_type,project_url,approximate_unit_count,target_market,current_digital_experience,identified_problem,opportunity_for_our_product,public_contact_name,public_contact_role,public_business_email,public_business_phone,linkedin_company_url,instagram_url,source_1,source_2,last_verified_date,lead_score,priority,recommended_channel,personalized_demo_angle,notes
"Groupe Jamai","https://www.groupejamai.com/","Casablanca","Anfa Bay, Bab Anassi, Porte Californie (Casablanca) ; Riad El Menara (Marrakech) ; Bab Al Andalous (Tanger) ; Ryad Sofia (Martil) ; Abouab Azemmour ; Nassim et Ryad Sara (Benslimane) ; Ryad Al Ismailia (Fès) ; Ryad Moulay Ismail et Ryad Al Oulfa (Meknès)","Villas, villas semi-finies, haut standing, moyen standing, logement social, lots de terrain","https://www.groupejamai.com/","Non publié — 12+ projets sur 8 villes","Du social au haut standing, national","Recherche par ville, projet et typologie ; simulateurs de crédit reliés à trois banques marocaines ; formulaire de rappel ; aucun statut de lot, aucun plan, aucune disponibilité unitaire","Douze programmes sur huit villes, un moteur de recherche qui s'arrête à la typologie. Le prospect ne sait jamais ce qui reste.","Plus de 45 ans d'activité et une présence nationale : contrat cadre potentiel sur plusieurs programmes. Ils ont déjà intégré des simulateurs bancaires — culture digitale présente.","","","contact@groupejamai.com","+212 522 909 555","","","https://www.groupejamai.com/","https://www.marocannuaire.org/Annuaire/Details_infos.php?id=104418&activite=Promotion+immobiliere&ville=CASABLANCA","2026-07-24","76","A","E-mail puis téléphone","Porte Californie (Casablanca) : montrer la continuité entre leur simulateur bancaire existant et le choix du lot, dans un parcours unique.","Adresse : Km 9, Route d'El Jadida, Z.I. Lissasfa, 20190 Casablanca."
"Lahlou Alaoui Immobilier","https://lahloualaoui.ma/","Bouskoura","Résidence Shems2 (Bouskoura, à partir de 790 000 DHS) ; Perla (Dar Bouazza) ; Villa Palmas (Bouskoura, 4 chambres, 300 m²) ; Résidence Shems1 et Portes d'Oulfa (Casablanca)","Appartements, villas, bureaux et commerces","https://lahloualaoui.ma/","Non publié","Moyen-haut de gamme, familles casablancaises","Pages projet, brochure Shems2 téléchargeable, formulaire de contact, boutons WhatsApp et appel ; aucune recherche de disponibilité, aucun filtre, aucun plan d'étage","Le prix de départ est affiché mais pas un seul lot. L'acheteur qui veut savoir ce qui reste en 3 chambres au 2e étage doit écrire sur WhatsApp.","Adresse e-mail commerciale directement publiée (commercial@lahloualaoui.ma) : la meilleure route d'accès de la base. Shems2 à Bouskoura, ville de notre démonstration.","","","commercial@lahloualaoui.ma","+212 6 08 90 09 01","","","https://lahloualaoui.ma/","https://www.sarouty.ma/blog/quels-sont-les-nouveaux-projets-immobiliers-autour-de-casablanca-en-2026/","2026-07-24","76","A","E-mail commercial puis WhatsApp","Résidence Shems2 (Bouskoura) : la démonstration Azure Bouskoura est déjà à la bonne ville et au bon segment. Personnalisation la plus rapide de toute la base.","Adresse : Maarif, Bloc A, Bd Mohammed Zerktouni, Casablanca. Plus de 30 ans d'activité revendiqués. Ne pas confondre avec Groupe Lahlou Immobilier, société distincte."
"Groupe Addoha","https://www.groupeaddoha.com/","Casablanca","Programmes à Casablanca, Marrakech, Tanger, Rabat, Kénitra, Fès, Meknès, Oujda, Beni Mellal","Logement économique, moyen standing, haut standing via Prestigia","https://www.groupeaddoha.com/","Non publié par lot — dizaines de programmes","Économique et moyen standing, national","Site principalement en arabe, pages projet descriptives ; aucun filtre de disponibilité, aucun plan, aucune recherche de lot ; aucune coordonnée de contact visible sur la page d'accueil","Le premier promoteur du pays par le volume, sans aucun outil de sélection de lot en ligne et sans coordonnées de contact visibles sur sa page d'accueil.","Volume considérable, mais décision très centralisée. Meilleure porte d'entrée : la marque premium Prestigia, traitée comme un prospect distinct.","","","","","","","https://www.groupeaddoha.com/","https://medias24.com/2026/04/20/addoha-alliances-rds-trois-groupes-trois-trajectoires-tres-differentes-en-bourse-1662561/","2026-07-24","76","A","Passer par Prestigia","Ne pas démarcher Addoha directement en premier : entrer par Prestigia (Bouskoura Golf City), puis remonter.","Société cotée à la Bourse de Casablanca. Aucun e-mail ni téléphone publié sur la page d'accueil : Non vérifié. Siège : Km 7, Route de Rabat, Ain Sebâa, Casablanca."
"AMG Building","https://amg-building.com/","Marrakech","M-Road Residence (studios, appartements, duplex, R+5) ; Le Petit Ambassadeur ; Les Ambassadeurs 6 et 7 ; Les Ambassadeurs 5 (villas 3 à 6 chambres) ; Les Ambassadeurs 3","Villas résidentielles et résidence R+5","https://amg-building.com/","Non publié — 8 opérations dont 3 annoncées complètes","Luxe, Marrakech","Pages projet avec prix et mention « complet » au niveau du projet, formulaire de contact, brochure ; aucun statut par lot, aucun filtre, aucun plan d'étage","Ils affichent déjà « complet » ou « disponible » au niveau du projet : le raisonnement par statut existe, mais il s'arrête avant le lot. L'acheteur ne sait pas quelle villa reste dans Les Ambassadeurs 5.","Le seul prospect de la base qui affiche déjà des statuts. Passer du statut projet au statut lot est une évolution qu'ils comprendront en une phrase.","","","","+212 5 24 44 63 85","","","https://amg-building.com/","https://www.chridari.ma/fr/promoters","2026-07-24","76","A","Téléphone puis e-mail via formulaire","Les Ambassadeurs 5 : reprendre leur logique « complet / disponible » et la descendre au niveau de la villa, avec un plan de masse cliquable.","Aucune adresse e-mail publiée : Non vérifié. Adresse : Immeuble Rachid – MB, Av. Khalid Ibn El Oualid, Marrakech 40000. Comptes Facebook, Instagram, Snapchat et LinkedIn signalés mais URL non relevées."
"Groupe Borj","https://www.groupeborj.com/","Kénitra","L'Hivernage ; Borj Park 2 ; Le Carrousel","Résidentiel de standing et commerces","https://www.groupeborj.com/expertise.html","Plus de 2 000 unités livrées depuis 2007 selon le site","Moyen-haut de gamme, Kénitra","Site vitrine avec pages projet ; le certificat TLS du domaine a provoqué une erreur de handshake lors de la vérification du 24/07/2026 — le site peut être inaccessible depuis certains navigateurs et clients","Un problème de certificat rend le site potentiellement inaccessible à une partie des visiteurs. C'est un défaut mesurable, constaté et facile à démontrer.","Ouverture technique concrète et non commerciale : signaler le problème de certificat est un premier contact à forte valeur perçue, sans rien vendre.","","","","","","","https://www.groupeborj.com/","https://www.groupeborj.com/about.html","2026-07-24","75","A","Message technique d'abord (formulaire ou LinkedIn)","Ouvrir sur le diagnostic technique du certificat, puis montrer Borj Park 2 avec un sélecteur d'étage.","Erreur TLS constatée le 24/07/2026 lors d'une tentative de lecture automatisée ; à reconfirmer manuellement dans un navigateur avant tout contact. Aucune coordonnée relevée : Non vérifié."
"Lamine Immobilier","https://lamine-immobilier.com/","Marrakech","L'Hermitage ; Terre d'Atlas ; Jnane El Ali ; Le Pavillon 1 et 2 ; Le Mirage — tous à Guéliz","Résidentiel","https://lamine-immobilier.com/","Non publié — 6 projets à Guéliz","Haut standing, Marrakech centre","Espace client « LAMINE Access » (suivi de chantier en temps réel, service après-vente, réclamations), assistant WhatsApp « Lamia », brochures, formulaire avec sélection de projet ; aucune disponibilité par lot en amont de la vente","Ils ont construit un espace client complet pour l'après-vente, mais rien pour l'avant-vente. Le prospect qui n'a pas encore acheté n'a accès à aucune information de lot.","Argument sur mesure : « vous avez équipé l'après-vente, pas la vente ». Une entreprise qui a déjà financé un portail client accepte plus facilement d'en financer un second.","","","","+212 5 24 20 71 71","","","https://lamine-immobilier.com/","https://www.chridari.ma/fr/promoters","2026-07-24","75","A","Téléphone puis e-mail via formulaire","Le Mirage ou Le Pavillon 2 : montrer le miroir de LAMINE Access côté acquéreur — choisir son lot avant d'acheter, comme il suit son chantier après.","Aucune adresse e-mail publiée : Non vérifié. Adresse : Rue Mouquaouama, Marrakech 40000. Horaires commerciaux publiés : lundi-samedi 9h30-19h."
"SGH Maroc (Karam Development Holding)","https://www.sgh-maroc.com/","Tanger","Diyari Social ; Diyari Premium (route de Rabat) ; Diyari Moyen Standing ; Villas Belazur (Achakar, 32 villas)","Appartements 2 et 3 chambres R+5, villas jumelées et en bande","https://www.sgh-maroc.com/","32 villas sur Belazur ; volumes non publiés sur les programmes Diyari","Social, moyen standing et villas, Tanger","Pages projet descriptives avec équipements ; contact par téléphone, visite en bureau de vente, réseaux sociaux (Facebook, Instagram, TikTok) ; aucune disponibilité, aucun filtre, aucun plan","Quatre gammes distinctes (social, moyen standing, premium, villas) présentées sans aucun outil de sélection. Toute la qualification repose sur les bureaux de vente physiques.","Segmentation en gammes déjà claire dans leur communication : le sélecteur peut la refléter directement. Villas Belazur (32 unités) est un format de démonstration facile à personnaliser.","","","","+212 5 39 39 49 70","","","https://www.sgh-maroc.com/","https://tanger-private-estate.com/promoteur-immobilier-tanger/","2026-07-24","73","B","Téléphone puis réseaux sociaux","Villas Belazur (32 villas) : plan de masse cliquable avec statuts, format directement transposable.","Autres téléphones publiés : +212 6 60 10 61 03, +212 6 19 20 59 98, +212 5 31 06 16 50. Adresse : Riad 17, Boulevard Moulay Rachid, Quartier Souani, Tanger. Aucune adresse e-mail publiée : Non vérifié."
"Espaces Saada / Résidences Dar Saada","https://www.espacessaada.com/","Casablanca","Résidences Des Lilas (Casablanca) ; Targa Garden (Marrakech) ; Les Jardins de l'Atlantique et Dyar El Boughaz (Tanger) ; Dyar Al Bohayra (Fès) ; opérations à Agadir, Berrechid, Martil, Nouaceur, Oujda, Skhirat","Appartements économiques et moyen standing, villas, duplex, lots de terrain","https://www.espacessaada.com/","Carnet de commandes sécurisé de 7,5 milliards de dirhams selon Médias24 ; environ 6 700 unités en construction à Lahraouiyine (Casablanca) et plus de 15 000 logements programmés à Marrakech","Économique et moyen standing, national","Recherche par ville et type de projet, fiches projet avec fourchettes de prix, visites virtuelles 3D sur certains biens, simulateur de crédit, formulaires ; aucun statut de lot, aucun plan d'étage, aucun inventaire unitaire","Des volumes parmi les plus élevés du pays (6 700 unités sur un seul site) gérés avec un site qui s'arrête à la fourchette de prix par projet.","Volume massif : c'est le prospect pour lequel le tableau de bord d'inventaire a la plus forte valeur opérationnelle. Segment économique = budget marketing plus contraint, viser l'offre 2.","","","","05 22 97 97 97","","","https://www.espacessaada.com/","https://medias24.com/2026/07/20/immobilier-cote-pourquoi-rds-fait-mieux-que-ses-rivales-1726045/","2026-07-24","73","B","Téléphone puis courrier au siège","Résidences Des Lilas : montrer que 6 700 lots peuvent être pilotés depuis un seul tableau de bord, avec statuts modifiables par les équipes.","Société cotée (Résidences Dar Saada). WhatsApp publié : +212 6 69 78 34 83. Siège selon Charika : Quartier Marina, Tour Crystal 3, Imm 05, 6e-8e étage, Casablanca ; téléphone 0522979700. Volumes issus de la presse économique, non audités."
"Groupe Al Omrane","https://www.alomrane.gov.ma/","Rabat","621 projets référencés sur la plateforme, dont Al Hayat (Aïn El Aouda), Riad Tamesna, Zahrat Al Jabal (Chrafate), Annouzha (Aït Ourir)","Logement social, lots de terrain, villas, pôles urbains","https://www.alomrane.gov.ma/Nos-produits/Projets","621 projets référencés","Social et intermédiaire, national","Filtres avancés par région, ville, type de bien, budget, nombre de pièces, mode de vente et statut ; e-services (simulation de crédit, prise de rendez-vous, réclamations) ; pas de disponibilité par lot ni de plan d'étage interactif","Le portail le plus abouti du secteur au niveau projet, mais toujours aucun lot individuel consultable.","Établissement public : achat par marché public, cycle long et procédure formelle. Fort volume, faible probabilité de première vente rapide.","","","","080 100 15 16","","","https://www.alomrane.gov.ma/","https://www.alomrane.gov.ma/Nos-produits/Projets","2026-07-24","73","B","Veille des appels d'offres publics","Ne pas démarcher en direct : surveiller les consultations publiques. Aucune démonstration personnalisée à produire à ce stade.","Entreprise publique créée en 2007, 10 filiales régionales. Achats soumis à la réglementation des marchés publics — à faire confirmer avant tout investissement commercial."
"Miftah Immobilier (ALH Real Estate)","https://miftahimmobilier.ma/","Casablanca","Miftah Arraha IV et V (Safi) ; Miftah Al Atlas II (Marrakech) ; Miftah Al Bahr (Sidi Rahal)","Appartements 3 chambres, projet balnéaire","https://miftahimmobilier.ma/","Non publié","Économique et social","Filtre par statut (en cours de commercialisation / livrés), pages projet descriptives, formulaire de prise de rendez-vous ; aucune recherche de lot, aucun plan, aucun statut unitaire","Six bureaux de vente physiques (Tanger, Casablanca, Safi, Agadir, Marrakech, Sidi Rahal) et un numéro unique pour tout le pays : toute la qualification repose sur l'humain.","Marque du segment économique et social d'ALH Real Estate, groupe de plus de 60 ans. Le budget existe au niveau groupe ; le segment est peu premium.","","","","+212 5 22 95 32 32","","","https://miftahimmobilier.ma/","https://immojahez.com/promoteurs-immobiliers-au-maroc/","2026-07-24","72","B","Téléphone puis bureau de vente","Miftah Al Bahr (Sidi Rahal) : projet balnéaire où la vue et l'orientation justifient un sélecteur d'étage.","Aucune adresse e-mail publiée : Non vérifié. Ils affichent déjà un filtre par statut au niveau projet — bonne base de discussion."
"Groupe Allali","https://allali.ma/","Mohammedia","Section « Nos projets récents » présente sur le site ; noms de projets non détaillés sur la page d'accueil","Non détaillé sur la page d'accueil","https://allali.ma/","Non publié","Non identifiable depuis la page d'accueil","Pages projet, formulaire de contact, assistant WhatsApp « Alia » disponible 24h/24 ; aucune disponibilité, aucun filtre, aucun plan","Ils ont investi dans un agent conversationnel WhatsApp disponible en permanence, mais le visiteur n'a toujours aucune information de lot à lui demander.","Argument direct : un assistant 24h/24 qui ne peut répondre à « quels lots restent au 3e étage ? » ne sert qu'à moitié. Coordonnées complètes publiées (e-mail, téléphone, adresse, horaires).","","","contact@allali.ma","+212 523 30 40 50","","","https://allali.ma/","https://immojahez.com/promoteurs-immobiliers-au-maroc/","2026-07-24","72","B","E-mail puis téléphone","Ne pas produire de démonstration nommée avant d'avoir identifié un projet précis. Ouvrir sur l'assistant Alia et ce qu'il ne peut pas répondre aujourd'hui.","Projets non identifiés depuis la page d'accueil : Non vérifié. Adresse : Place Mohamed V, Résidence Du Centre, Mohammedia. Horaires : lun-ven 8h30-17h30, sam 9h-12h."
"Romana Immobilier","https://www.romana.ma/","Kénitra","Résidence Victoria (Témara) ; Résidence Belvédère (Sala Al Jadida) ; Lotissement Al Baraka (Ain Attik) ; Lotissement Riad Al Khair (Bouznika)","Appartements et lots de terrain","https://www.romana.ma/","Non publié","Moyen standing, axe Rabat-Kénitra-Bouznika","Pages projet, formulaires de contact, liens WhatsApp vers les équipes commerciales par agence ; aucune recherche, aucune disponibilité, aucun filtre","Trois agences avec des numéros différents et aucune information de disponibilité en ligne : le prospect doit deviner quelle agence appeler.","Le tableau de bord partagé résout un problème qu'ils ont concrètement : trois points de vente qui doivent voir le même inventaire.","","","","06 22 10 20 30","","","https://www.romana.ma/","https://immojahez.com/promoteurs-immobiliers-au-maroc/","2026-07-24","70","B","WhatsApp puis téléphone","Résidence Victoria (Témara) : mettre en avant l'inventaire partagé entre les trois agences plutôt que l'esthétique.","Autres numéros publiés par agence : 0613 203 040 (Témara), 0666 330 913 et 0666 886 620 (Sala Al Jadida), 0666 264 852 (Bouznika). Aucune adresse e-mail publiée : Non vérifié. Activité immobilière depuis les années 1980."
"Mouden Real Estate","https://www.moudenrealestate.com/","Tanger","Résidences Mouden (Tanger, en commercialisation) ; Résidences Rahma (Tanger, vendu) ; Perla Del Mar (Martil, vendu)","Résidentiel et complexe balnéaire","https://www.moudenrealestate.com/","Non publié","Moyen standing, nord du Maroc","Pages projet statiques avec liens « Voir », formulaire de contact ; aucune disponibilité, aucun filtre, aucun plan","Ils distinguent déjà « en commercialisation » et « vendu » au niveau du projet, mais aucun lot n'est visible. Un projet marqué « vendu » n'apporte plus rien au visiteur.","Structure de taille modeste : décideur probablement accessible directement. Bon candidat pour un premier contrat rapide en offre 1 ou 2.","","","mouchef.immo@gmail.com","0661 609689","","","https://www.moudenrealestate.com/","https://tanger-private-estate.com/promoteur-immobilier-tanger/","2026-07-24","70","B","E-mail puis téléphone","Résidences Mouden : montrer le passage du statut « en commercialisation » au niveau projet à un statut par lot.","Adresse e-mail relevée avec deux graphies possibles sur le site (mouchef / moudchef) : à confirmer manuellement avant envoi. Second téléphone : 0666 964700. Adresse : Local N2, Rés Rahma 1, Qua Beni Touzine, Hay Sidi Idris, Bni Makada, Tanger. Fondée en 2002."
"Manafiaa Investissements","https://www.manafiaa.com/","Kénitra","Manafiaa Premium (Kénitra)","Appartements subventionnés, appartements premium, plateaux de bureaux, magasins","https://www.manafiaa.com/","37 biens en catégorie appartements et 1 en bureaux affichés sur le site","Subventionné et premium, Kénitra","Filtres par type de bien, chambres, salles de bain et fourchette de prix ; documentation technique via formulaire ; pas de statut par lot ni de plan d'étage interactif","Ils affichent déjà 37 biens filtrables : la logique d'inventaire existe, mais sans statut Disponible/Réservé/Vendu ni sélection par étage.","Prospect qui a déjà franchi la moitié du chemin. La vente porte sur les statuts, le sélecteur d'étage et le tableau de bord — argumentaire court et précis.","","","info@manafiaa.com","0666 217750","","","https://www.manafiaa.com/","https://www.chridari.ma/fr/promoters","2026-07-24","67","B","E-mail puis téléphone","Manafiaa Premium : reprendre leurs 37 biens et montrer ce que change l'ajout des statuts et du sélecteur d'étage.","Ouvert du lundi au samedi selon le site."
"Balia Baie","https://www.baliabaie.com/","Tanger","Complexe résidentiel fermé Zohor (Tanger) ; Projet Makelaar","Résidentiel en complexe fermé, commercial et mixte, lots de terrain","https://www.baliabaie.com/","Non publié","Moyen standing, Tanger","Pages projet avec images, formulaire de contact, lien WhatsApp, boutons de navigation ; aucune recherche, aucun statut, aucun plan","Deux projets présentés sans aucune information exploitable : ni typologies, ni surfaces, ni disponibilités.","Petite structure, décideur très probablement joignable directement. Adresse e-mail publiée. Candidat pour une première vente rapide en offre 1.","","","Baliabaietanger@gmail.com","+212 666731743","","","https://www.baliabaie.com/","https://tanger-private-estate.com/promoteur-immobilier-tanger/","2026-07-24","66","B","E-mail puis WhatsApp","Complexe Zohor : démonstration simple centrée sur le catalogue de lots et les statuts, sans sur-promettre.","Horaires publiés : lundi-samedi 10h-18h. Adresse : Tanja Balia, rue Rocade des Deux Mers, lotissement Wahda n°322, Tanger."
"ALAQ Holding","https://alaqholding.com/","Agadir","Activité de promotion immobilière déclarée à Agadir, Marrakech, Casablanca, Rabat et Tanger ; aucun projet nommé sur le site","Promotion immobilière haut de gamme (déclaratif)","https://alaqholding.com/promotion-immobiliere-a-agadir/","Non publié","Haut de gamme (déclaratif)","Site corporate avec sections Industries, Construction/Promotion et Distribution, page FAQ, formulaire de contact ; aucun projet nommé, aucune disponibilité, aucun visuel de programme","Une holding qui déclare faire de la promotion immobilière haut de gamme dans cinq villes sans nommer un seul projet ni montrer un seul bien.","Coordonnées complètes publiées. Le besoin est évident mais le portefeuille réel n'est pas vérifiable : qualifier par téléphone avant d'investir dans une démonstration.","","","contact@alaqholding.com","+212 624446458","","","https://alaqholding.com/promotion-immobiliere-a-agadir/","https://agadirimmobilier.org/2025/05/26/%F0%9F%8F%97%EF%B8%8F-les-promoteurs-immobiliers-a-agadir-panorama-des-acteurs-du-marche/","2026-07-24","64","B","E-mail puis téléphone","Aucune démonstration nommée avant qualification : aucun projet public identifié. Qualifier d'abord.","Aucun projet nommé publiquement : Non vérifié. Second téléphone : +212767915425. Adresse : 25, zone industrielle Sidi Ghanem-3, 40010 Marrakech."
"Marita Group (filiale SMI)","https://www.maritagroup.com/","Rabat","Promotion immobilière déclarée via la filiale SMI ; aucun projet nommé sur le site","Promotion immobilière, tous standings (déclaratif)","https://www.maritagroup.com/en/home/","Non publié","Non identifiable","Site corporate multilingue (FR, EN, AR), menus sectoriels, rubrique actualités, formulaire de contact ; aucun projet immobilier nommé, aucune disponibilité","Un groupe fondé en 1994 qui revendique « plusieurs projets de grande envergure » sans en nommer un seul publiquement.","Coordonnées complètes publiées. Qualifier par e-mail avant tout investissement : le portefeuille immobilier réel n'est pas documenté publiquement.","","","contact@maritagroup.com","+212 5 37 73 68 24","","","https://www.maritagroup.com/en/home/","https://www.charika.ma/societe-marita-immobiliere-131299","2026-07-24","44","C","E-mail de qualification","Aucune démonstration avant d'avoir identifié un projet réel.","Aucun projet nommé publiquement : Non vérifié. Critère « projet actif » noté 0 faute de projet identifiable. Adresse : 17 Av. Hassan Tower, Rabat 10020."
"RAPROMO (Groupe Rahioui)","https://www.rapromo.ma/","Kénitra","Résidence Fahd ; Résidence Younous ; Résidence Hamza (Mimouza, 72 à 145 m²) ; Résidence Sable d'Or ; Résidence Copacabana ; Les Résidences Rahioui Assam et Skhirat ; Centre commercial Benomar","Appartements 1 à 3 chambres, commerces","https://www.rapromo.ma/","Non publié — 8 opérations référencées","Moyen standing, Kénitra et Skhirat","Recherche avec filtres avancés (localisation, prix, chambres, équipements), fiches agents, système de favoris, outil de comparaison, formulaire de rappel ; pas de statut Disponible/Réservé/Vendu ni de sélecteur d'étage","Ils ont déjà un moteur de recherche et un comparateur : ce qui manque est le statut par lot et la lecture par étage, donc la partie qui déclenche la décision.","Prospect avancé : argumentaire ciblé sur les statuts et le sélecteur d'étage uniquement. Vente plus courte mais valeur perçue plus faible — viser l'offre 2.","","","rapromosarl@gmail.com","+212 5 37 32 44 76","","","https://www.rapromo.ma/","https://www.facebook.com/Rapromo.ma/","2026-07-24","61","B","E-mail puis téléphone","Résidence Hamza : ajouter les statuts et le sélecteur d'étage à un moteur de recherche qu'ils ont déjà.","Second téléphone : +212 6 41 41 00 19. Adresse : angle rue Loubnane et rue Ibn Battouta, bureau n°2, Kénitra."
"Elrayan Immobilier","https://elrayan-immobilier.ma/","Kénitra","Complexe Al Anouar ; Mellah Centre ; Résidence Al Firdaous ; Complexe Al Saada ; Résidence Souhail ; Résidence El Baraka ; Yakout ; Nor ; Sami","Appartements 2 et 3 chambres, plateaux de bureaux, magasins","https://elrayan-immobilier.ma/","Non publié — 9 opérations référencées","Moyen standing, Kénitra","Filtres par prix (400 000 à 2 400 000 DH), chambres, salles de bain, type de bien et équipements ; demande de rappel ; pas de statut par lot ni de sélecteur d'étage","Neuf programmes avec un moteur de recherche par prix mais aucun statut de disponibilité : le prospect trouve un bien qui peut déjà être vendu.","Prospect avancé sur la recherche, absent sur le statut. Argument très concret : « votre visiteur peut tomber sur un lot déjà vendu ».","Rajae Tantaoui","Responsable Commercial","","+212 666 811970","","","https://elrayan-immobilier.ma/","https://www.chridari.ma/fr/promoters","2026-07-24","59","B","Téléphone puis e-mail","Complexe Al Saada : ajouter les statuts Disponible/Réservé/Vendu à leur moteur existant.","Nom et fonction publiés par l'entreprise sur son propre site à des fins commerciales ; aucune coordonnée personnelle relevée. Adresse e-mail affichée sur le site avec une graphie apparemment erronée : à vérifier manuellement avant envoi. Second téléphone : +212 666875812. Adresse : Résidence Rayan, angle Av Imam Ali et rue Moulay Abdellah, Kénitra 14050."
"Groupe Lahlou Immobilier","https://www.groupelahlou-immo.com/","Casablanca","Non vérifié — site non inspecté en détail lors de cette phase","Non vérifié","","Non publié","Non vérifié","Non vérifié — à inspecter","À qualifier","Compte Instagram professionnel actif identifié. À qualifier avant tout investissement commercial.","","","","","","https://www.instagram.com/groupelahlou.immo/","https://www.groupelahlou-immo.com/","https://www.instagram.com/groupelahlou.immo/","2026-07-24","50","C","Instagram puis site","Aucune démonstration avant qualification.","Non vérifié : site non inspecté. Société créée en 1994 selon les résultats de recherche. Ne pas confondre avec Lahlou Alaoui Immobilier, société distincte."
"AAFER Immobilier","","Tanger","Non vérifié — projets résidentiels, villas et commerces mentionnés par une source tierce","Appartements, villas, commerces (source tierce)","","Non publié","Haut de gamme (source tierce)","Non vérifié — aucun site officiel identifié","À qualifier : aucun site officiel trouvé lors de la vérification du 24/07/2026","Absence apparente de site officiel = besoin maximal, mais à confirmer avant tout contact.","","","","","","","https://tanger-private-estate.com/promoteur-immobilier-tanger/aafer-immobilier/","https://www.levanaproperties.com/developers/","2026-07-24","52","C","Recherche complémentaire requise","Aucune démonstration avant d'avoir identifié un site et un projet réels.","Non vérifié : aucun site officiel, aucune coordonnée, aucun projet nommé confirmé. Deux sources tierces concordantes sur l'existence de l'entreprise."
"Groupe RBAHI","","Tanger","Non vérifié — complexes résidentiels, commerces, bureaux et resorts à Tétouan, Cabo Negro, Tanger, Martil et M'diq selon une source tierce","Résidentiel, commercial, resort (source tierce)","","Non publié","Moyen-haut de gamme (source tierce)","Non vérifié — aucun site officiel identifié","À qualifier : aucun site officiel trouvé lors de la vérification du 24/07/2026","Présence multi-villes dans le nord ; suivi après-vente revendiqué par la source. À confirmer.","","","","","","","https://tanger-private-estate.com/promoteur-immobilier-tanger/groupe-rbahi/","","2026-07-24","50","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique, aucun site officiel, aucune coordonnée. Une seule source — ne pas contacter en l'état."
"Kettani Immobilier","https://www.kettani-immobilier.com/","Casablanca","Non vérifié — page « Nos projets » existante mais contenu non lisible lors de la vérification","Non vérifié","https://www.kettani-immobilier.com/nos-projets","Non publié","Non vérifié","Site présent, se présentant comme « Promoteur de confiance » ; contenu des pages projet non lisible par lecture automatisée le 24/07/2026","À qualifier manuellement : le site n'a pas restitué son contenu lors de la vérification","Site possiblement lourd ou dépendant de scripts — c'est en soi un signal de faiblesse technique à confirmer dans un navigateur.","","","","","","","https://www.kettani-immobilier.com/","https://immojahez.com/promoteurs-immobiliers-au-maroc/","2026-07-24","50","C","Inspection manuelle requise","Aucune démonstration avant inspection manuelle du site.","Non vérifié : projets et coordonnées non relevés. Le contenu n'a pas pu être lu automatiquement — vérifier dans un navigateur."
"Chaabane Immobilier","https://chaabaneimmobilier.com/","Casablanca","Non vérifié — contenu non lisible lors de la vérification du 24/07/2026","Non vérifié","","Non publié","Non vérifié","Domaine actif mais aucun contenu restitué par lecture automatisée le 24/07/2026","À qualifier manuellement","Un site qui ne restitue aucun contenu est soit très léger, soit défaillant : les deux cas sont des ouvertures commerciales. À confirmer.","","","","","","","https://chaabaneimmobilier.com/","https://immojahez.com/promoteurs-immobiliers-au-maroc/","2026-07-24","48","C","Inspection manuelle requise","Aucune démonstration avant inspection manuelle.","Non vérifié : aucun projet, aucune coordonnée relevés."
"Salma Développement","","Dar Bouazza","S-Living (Dar Bouazza) — studios et petites surfaces","Studios et petites unités","","Non publié","Investisseurs et primo-accédants","Non vérifié — aucun site officiel identifié","À qualifier : projet identifié par une source spécialisée locale, aucun site officiel trouvé","Projet récent sur une zone prioritaire. Absence de site = besoin fort, mais l'entreprise doit d'abord être confirmée.","","","","","","","https://www.icidarbouazza.com/dar-bouazza-projets-immobilier-2025/","","2026-07-24","52","C","Recherche complémentaire requise","Aucune démonstration avant confirmation de l'entreprise et du projet.","Non vérifié : source unique, aucun site officiel, aucune coordonnée. Ne pas contacter en l'état."
"Bousakane Immobilier","https://bousakane.com/","Agadir","Non vérifié — appartements, villas, bureaux et commerces mentionnés par une source tierce","Appartements, villas, bureaux, commerces (source tierce)","","Non publié","Moyen standing, Agadir (source tierce)","Site officiel constaté à l'état de gabarit non configuré le 24/07/2026 : contenu de démonstration WordPress non modifié, coordonnées de remplissage (email@email.com, +123456789)","Le site officiel n'a jamais été mis en service. Un promoteur de plus de 35 ans revendiqués sans présence en ligne fonctionnelle.","Le besoin est maximal et démontrable en une capture d'écran. Mais aucune coordonnée exploitable : passer par les réseaux sociaux ou le bureau de vente physique.","","","","","","","https://bousakane.com/","https://agadirimmobilier.org/2025/05/26/%F0%9F%8F%97%EF%B8%8F-les-promoteurs-immobiliers-a-agadir-panorama-des-acteurs-du-marche/","2026-07-24","44","C","Réseaux sociaux ou bureau de vente","Montrer leur propre page d'accueil non configurée à côté d'un bureau de vente digital. Argument visuel très fort, à manier avec tact.","État du site vérifié le 24/07/2026. Critère « projet actif » noté 8 : projets évoqués par un tiers mais aucun nommé. Aucune route de contact vérifiée : critère 5 noté 0. Coordonnées affichées manifestement factices : non retenues. Liens Facebook, Instagram, X et TikTok présents sur le site mais URL non relevées : Non vérifié."
